,housing_units,latt,long,median_house_value,population
37115,17619.0,36.26,-86.7,122000.0,37316.0
37118,536.0,35.93,-86.19,146100.0,1264.0
37122,17942.0,36.2,-86.5,211500.0,46463.0
37127,6122.0,35.78,-86.33,174400.0,15786.0
37128,15599.0,35.8,-86.49,175800.0,38966.0
37129,19086.0,35.9,-86.5,168200.0,49103.0
37130,23028.0,35.89,-86.32,155600.0,52070.0
37132,1.0,35.85,-86.36,,2776.0
37134,1401.0,36.0,-87.93,96400.0,3061.0
37135,3314.0,35.94,-86.67,291500.0,9681.0
37137,1232.0,35.9,-87.5,80900.0,2725.0
37138,9482.0,36.25,-86.62,165900.0,22191.0
37140,79.0,35.87,-87.66,110400.0,1365.0
37141,481.0,36.62,-86.69,166000.0,1224.0
37142,690.0,36.41,-87.5,151500.0,1902.0
37143,1553.0,36.12,-87.03,184700.0,3818.0
37144,1522.0,35.3,-86.7,91900.0,3344.0
37145,1010.0,36.4,-85.9,107200.0,2157.0
37146,2607.0,36.4,-87.04,193800.0,7182.0
37148,8926.0,36.6,-86.5,132800.0,22320.0
37149,965.0,35.8,-86.2,141800.0,2210.0
37150,2227.0,36.5,-85.8,90100.0,4894.0
37151,248.0,36.32,-86.05,139300.0,565.0
37153,2047.0,35.8,-86.5,178300.0,5520.0
37160,13326.0,35.5,-86.5,111000.0,32744.0
37165,34.0,36.295,-87.471,150000.0,70.0
37166,6390.0,36.0,-85.8,116500.0,13446.0
37167,19076.0,36.0,-86.5,154100.0,49322.0
37171,396.0,36.37,-87.3,79800.0,917.0
37172,11603.0,36.5,-86.9,138900.0,28714.0
37174,9986.0,35.7,-86.9,196300.0,26418.0
37175,916.0,36.3,-87.9,88300.0,1015.0
37178,941.0,36.3,-87.8,89500.0,2112.0
37179,4140.0,35.8,-86.9,213800.0,11767.0
37180,1164.0,35.61,-86.59,113000.0,3033.0
37181,649.0,36.26,-87.47,112700.0,1534.0
37183,1393.0,35.5,-86.3,128000.0,3229.0
37184,2432.0,36.1,-86.2,145000.0,5844.0
37185,4391.0,36.0,-87.8,111200.0,8638.0
37186,3871.0,36.6,-86.2,102700.0,9184.0
37187,2835.0,36.1,-87.2,119100.0,6829.0
37188,5087.0,36.48,-86.67,168200.0,13643.0
37189,1377.0,36.28,-86.83,171400.0,3320.0
37190,3863.0,35.8,-86.0,119000.0,8787.0
37191,1660.0,36.5,-87.5,133400.0,4020.0
37201,944.0,36.17,-86.78,193800.0,2137.0
37203,6791.0,36.15,-86.79,202000.0,11883.0
37204,5683.0,36.11,-86.77,324600.0,12031.0
37205,12344.0,36.11,-86.87,418800.0,24057.0
37206,11912.0,36.18,-86.73,163200.0,25699.0
37207,14493.0,36.24,-86.78,120400.0,34880.0
37208,7500.0,36.18,-86.81,96400.0,16067.0
37209,15648.0,36.15,-86.9,170000.0,35457.0
37210,7073.0,36.14,-86.73,114800.0,16067.0
37211,31732.0,36.07,-86.72,164400.0,74755.0
37212,7794.0,36.13,-86.8,407000.0,20148.0
37213,84.0,36.17,-86.76,,218.0
37214,14313.0,36.17,-86.66,141300.0,28973.0
37215,10824.0,36.08,-86.84,482800.0,21190.0
37216,8507.0,36.22,-86.72,149500.0,17848.0
37217,13498.0,36.11,-86.66,132300.0,29599.0
37218,5640.0,36.2,-86.9,124100.0,14855.0
37219,1111.0,36.168,-86.783,239900.0,1162.0
37220,2519.0,36.07,-86.78,314600.0,5786.0
37221,17249.0,36.06,-86.96,222100.0,36610.0
37228,625.0,36.19,-86.81,,1160.0
37240,0.0,36.146,-86.803,,754.0
37243,0.0,36.165,-86.783,,0.0
37246,0.0,36.17,-86.77,,0.0
37301,661.0,35.4,-85.8,67600.0,1429.0
37302,1456.0,35.02,-85.02,227500.0,3730.0
37303,11380.0,35.4,-84.7,127900.0,25461.0
37305,448.0,35.48,-85.7,60300.0,889.0
37306,1181.0,35.1,-86.2,99500.0,2760.0
37307,2174.0,35.2,-84.6,114600.0,4870.0
37308,1219.0,35.3,-85.0,131700.0,2772.0
37309,918.0,35.3,-84.7,119600.0,2138.0
37310,1720.0,35.3,-84.8,159700.0,4135.0
37311,11814.0,35.1,-84.9,107900.0,27373.0
37312,13128.0,35.2,-84.9,171900.0,30962.0
37313,767.0,35.38,-85.73,80100.0,1731.0
37315,47.0,35.1,-85.1,,1556.0
37317,1335.0,35.0,-84.4,113100.0,2403.0
37318,958.0,35.18,-86.0,88200.0,1978.0
37321,8017.0,35.5,-85.0,98300.0,19113.0
37322,3692.0,35.5,-84.8,96600.0,8239.0
37323,12188.0,35.1,-84.8,116900.0,30439.0
37324,2395.0,35.3,-86.0,95300.0,5322.0
37325,811.0,35.2,-84.6,137900.0,1845.0
37326,208.0,35.04,-84.39,81000.0,467.0
37327,5016.0,35.4,-85.4,115800.0,11174.0
37328,611.0,35.05,-86.31,118900.0,1364.0
37329,2520.0,35.4,-84.5,103900.0,5588.0
37330,3280.0,35.3,-86.1,96500.0,6784.0
37331,3702.0,35.32,-84.53,116000.0,7656.0
37332,1098.0,35.6,-84.9,106400.0,2609.0
37333,233.0,35.15,-84.33,113400.0,534.0
37334,9932.0,35.2,-86.6,111700.0,21700.0
37335,1197.0,35.1,-86.4,117100.0,2778.0
